id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
0,4/13/2016,,,,,TRUE,,0,,,,,,,,4.233333333,8.016666667,,,,,,,,FALSE
0,2/26/2016,,,,,TRUE,,0,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,9/21/2016,,1,6,,TRUE,,0,,,,,,,,9.313055556,13.76416667,Minor Robbery,,,,,,,FALSE
0,10/7/2016,,,3,,TRUE,,0,,,,,,,,,,Minor Robbery,,,,,,,TRUE
0,9/11/2016,,,,,TRUE,,0,,,,,,,,4.75,11.83333333,Minor Robbery,,,,,,,FALSE
0,1/25/2016,,,,,FALSE,,0,,,,,,,,4.7625,6.8,,,,,,,,TRUE
0,5/5/2016,,2,,,FALSE,,0,,,,,,,,3.833333333,5.4,,,,,,,,FALSE
0,1/14/2016,,1,5,,FALSE,,0,,,,,,,,5.6,5,,,,,,,,FALSE
0,11/1/2016,,1,6,,FALSE,,0,,,,,,,,4.516666667,7.716666667,,,,,,,,TRUE
0,11/3/2016,,1,,,TRUE,,0,,,,,,,,4.870277778,1.659722222,Minor Robbery,,,,,,,FALSE
0,11/5/2016,,1,5,,TRUE,,0,,,,,,,,6.35,3.316666667,,,,,,,,FALSE
0,12/1/2016,,1,2,,TRUE,,0,,,,,,,,8.758333333,13.29722222,Minor Robbery,,,,,,,FALSE
0,12/9/2016,,1,,,FALSE,,0,,,,,,,,,,,,,,,,,FALSE
0,1/19/2016,,1,2,,TRUE,,0,,,,,,,,5.216666667,4.033333333,Minor Robbery,,,,,,,FALSE
0,12/9/2016,,1,,,FALSE,,0,,,,,,,,,,,,,,,,,FALSE
0,1/21/2016,,2,,,FALSE,,0,,,,,,,,,,,,,,,,,TRUE
0,2/19/2016,,,,,FALSE,,0,,,,,,,,,,,,,,,,,TRUE
0,3/12/2016,,1,9,,TRUE,,0,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,4/14/2016,,,,,TRUE,,0,,,,,,,,,,,,,,,,,FALSE
0,4/15/2016,,,,,TRUE,,0,,,,,,,,,,,,,,,,,FALSE
0,9/1/2016,,1,5,,FALSE,,0,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,11/5/2016,,1,5,,FALSE,,0,,,,,,,,,,,,,,,,,TRUE
0,5/22/2016,,,,,FALSE,,0,,,,,,,,4.45,7.716666667,Minor Robbery,,,,,,,FALSE
0,5/23/2016,,1,11,,FALSE,,0,,,,,,,,,,Large Scale Robbery,,,,,,,FALSE
0,7/22/2016,,,,,FALSE,,0,,,,,,,,5.083333333,6.033333333,,,,,,,,TRUE
0,1/22/2016,,,,,FALSE,,0,,,,,,,,,,Minor Robbery,,,,,,,FALSE
0,4/14/2016,,,1,,FALSE,,0,,,,,,,,4.9,1.65,,,,,,,,FALSE
0,8/15/2016,,,,,FALSE,,0,,,,,,,,0,0,,,,,,,,TRUE
0,5/2/2016,,,1,,TRUE,,0,,,,InPort,,,,-4.066666667,39.68333333,Minor Robbery,,,,,,,
0,1/27/2016,,4,,,FALSE,,0,,,,Open,,,,23.13333333,59.53333333,,,,,,,,
0,1/16/2016,,,,,TRUE,,0,,,,,,,,,,Minor Robbery,,,,,http://www.msrisk.com/wp-content/uploads/2016/02/Maritime-Security-Review-18-24-January-2016.pdf,,
0,7/22/2016,,2,16,,FALSE,,0,,,,Open,,,,13.61666667,42.58333333,,,,,,,,
0,9/6/2016,,,,,TRUE,,0,,,,InPort,,,,-19.83333333,34.86666667,Minor Robbery,,,,,MAST,,
0,4/15/2016,,,,,FALSE,,0,,,,Open,,,,,,,,,,,,,
0,2/20/2016,,3,,,FALSE,,0,,,,Open,,,,14.7,51.46666667,,,,,,,,
0,4/24/2016,,2,,,FALSE,,0,,,,Open,,,,14.41666667,49.13333333,,,,,,,,
0,5/10/2016,,3,,,FALSE,,0,,,,Open,,,,21.26888889,67.30055556,,,,,,ReCAAP and UKMTO,,
0,5/16/2016,,5,,,FALSE,,0,,,,Open,,,,14.75,50.96666667,,,,,,http://www.marineinsight.com/shipping-news/pirates-attempt-board-container-ship-gulf-aden/,,
0,5/2/2016,,4,,,FALSE,,0,,,,Open,,,,12.23583333,44.26805556,,,,,,,,
0,1/12/2016,,3,4,,FALSE,,0,,,,Open,,,,14.16666667,52.03333333,,,,,,,,
0,4/12/2016,,3,,,FALSE,,0,,,,Open,,,,,,,,,,,http://www.marinelink.com/news/thwarts-indian-pirate408474,,
0,3/3/2016,,,1,,TRUE,,0,,,,InPort,,,,3.85,4.65,Minor Robbery,,,,,,,
0,5/8/2016,,1,,,FALSE,,0,,,,Open,,,,9.736111111,61.18333333,,,,,,"IMO GISIS, UKMTO, and MSCHOA",,
0,8/24/2016,,At least 2,,,FALSE,,0,,,,Open,,,,13.66666667,42.9,,,,,,IMO GISIS,,
0,10/3/2016,,1,6,,FALSE,,0,,,,Open,,,,-14.01666667,42.81666667,,,,,,NCAG PATS,,
0,10/25/2016,,1,,,FALSE,,0,,,,Open,,,,12.535,43.535556,,,,,,"MAST, UKMTO, http://www.reuters.com/article/us-yemen-shipping-attack-idUSKCN12Q1UQ",,
0,2/3/2016,,,4,,FALSE,,0,,,,Open,,,,,,,,,,,,,
0,7/6/2016,,1,,,FALSE,,0,,,,Open,,,,,,,,,,,UKMTO,,
0,10/22/2016,,1,6,,FALSE,,0,,,,Open,,,,12.633611,59.449167,,,,,,"NCAG PATS,ONI, and http://eunavfor.eu/eu-naval-force-operation-commander-reinforces-need-for-vigilance-at-sea-as-chemical-tanker-attacked-by-suspected-somali-pirates/",,
0,11/5/2016,,,,,TRUE,,0,,,,Anchorage,,,,-21.65,35.416667,Minor Robbery,,,,,"http://www.safety4sea.com/wp-content/uploads/2016/12/ONI-World-Wide-Threat-to-Shipping-1-30-November-2016-2016_11.pdf,http://www.noonsite.com/Countries/Mozambique/mozambique-bazaruto-outboard-theft-november-2016",,
0,10/30/2016,,,3,,TRUE,,0,,,,Anchorage,,,,-15.716667,46.3,Minor Robbery,,,,,"http://www.safety4sea.com/wp-content/uploads/2016/12/ONI-World-Wide-Threat-to-Shipping-1-30-November-2016-2016_11.pdf, http://www.noonsite.com/Countries/Madagascar/madagascar-mahajanga-armed-robbery-october-2016",,
